agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(0.24, -0.24)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(-0.08, 0.08)"
