agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(0.04, -0.04)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.36, -0.36)"
