agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(0.08, -0.08)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.08, -0.08)"
