agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(-0.04, 0.04)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.14, -0.14)"
