agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(0.16, -0.16)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.12, -0.12)"
