agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(0.0, 0.0)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(-0.04, 0.04)"
