agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(-0.2, 0.2)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.48, -0.48)"
