agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(-0.28, 0.28)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.0, 0.0)"
