agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(-0.12, 0.12)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.16, -0.16)"
