agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(0.32, -0.32)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(-0.04, 0.04)"
