agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(-0.2, 0.2)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.24, -0.24)"
