agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(-0.12, 0.12)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.28, -0.28)"
