agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(-0.02, 0.02)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(0.24, -0.24)"
