agents,scores
"('DoubleIterRegressionTreeSHUCTAny', 'SHUCTAnyTime')","(0.32, -0.32)"
"('SHUCTAnyTime', 'DoubleIterRegressionTreeSHUCTAny')","(-0.12, 0.12)"
